"Time","Activity","HR","Cadence"
"0:10:52","running",157,82
"0:10:54","running",157,82
"0:10:56","running",158,82
"0:10:58","running",158,82
"0:11:00","running",159,82
"0:11:02","running",159,81
"0:11:04","running",160,81
"0:11:06","running",160,81
"0:11:08","running",160,81
"0:11:10","running",159,81
"0:11:12","running",159,81
"0:11:14","running",160,82
"0:11:16","running",160,81
"0:11:18","running",158,81
"0:11:20","running",157,81
"0:11:22","running",157,81
"0:11:24","running",157,82
"0:11:26","running",159,82
"0:11:28","running",160,82
"0:11:30","running",158,82
"0:11:32","running",155,81
"0:11:34","running",153,81
"0:11:36","running",153,82
"0:11:38","running",154,82
"0:11:40","running",155,82
"0:11:42","running",155,82
"0:11:44","running",155,82
"0:11:46","running",155,82
"0:11:48","running",153,82
"0:11:50","running",154,82
"0:11:52","running",155,82
"0:11:54","running",154,82
"0:11:56","running",154,82
"0:11:58","running",153,82
"0:12:00","running",153,82
